date,first_prize,last2,front3_1,front3_2,last3_1,last3_2,last3_3
16มีนาคม2558,48151,51,151,923,396,226,237
1มีนาคม2558,240237,37,237,344,980,318,570
16กุมภาพันธ์2558,1864,64,864,908,431,38,253
1กุมภาพันธ์2558,155537,37,537,790,832,868,130
16มกราคม2558,244351,51,351,740,683,985,958
30ธันวาคม2557,461704,4,704,578,539,825,359
16ธันวาคม2557,948354,54,354,900,807,637,759
1ธันวาคม2557,480449,49,449,118,203,805,801
16พฤศจิกายน2557,479804,4,804,251,794,224,807
1พฤศจิกายน2557,206608,8,608,446,72,38,559
16ตุลาคม2557,656409,9,409,946,477,848,489
1ตุลาคม2557,375615,15,615,442,510,861,595
16กันยายน2557,772269,69,269,351,122,573,427
1กันยายน2557,856763,63,763,223,89,124,774
16สิงหาคม2557,662842,42,842,916,399,121,876
1สิงหาคม2557,766391,91,391,823,495,766,236
16กรกฎาคม2557,468728,28,728,451,49,441,172
1กรกฎาคม2557,378477,77,477,391,232,714,418
16มิถุนายน2557,673920,20,920,951,581,406,395
1มิถุนายน2557,781198,98,198,181,603,244,96
16พฤษภาคม2557,87523,23,523,201,505,51,122
2พฤษภาคม2557,103297,97,297,521,431,586,737
16เมษายน2557,153406,6,406,263,440,133,556
1เมษายน2557,28866,66,866,951,864,998,359
16มีนาคม2557,531404,4,404,792,503,54,9
1มีนาคม2557,906318,18,318,351,165,377,537
16กุมภาพันธ์2557,384245,45,245,13,975,300,745
1กุมภาพันธ์2557,180149,49,149,954,64,928,889
16มกราคม2557,306902,2,902,522,420,771,495
30ธันวาคม2556,561072,72,72,485,137,505,32
16ธันวาคม2556,341767,67,767,791,112,287,428
1ธันวาคม2556,168795,95,795,277,347,660,749
16พฤศจิกายน2556,806925,25,925,280,693,46,727
1พฤศจิกายน2556,739804,4,804,475,20,202,561
16ตุลาคม2556,963289,89,289,604,25,298,769
1ตุลาคม2556,647882,82,882,145,763,246,500
16กันยายน2556,562684,84,684,630,562,355,747
1กันยายน2556,548123,23,123,52,815,708,0
16สิงหาคม2556,321327,27,327,204,179,454,482
1สิงหาคม2556,356435,35,435,828,804,517,183
16กรกฎาคม2556,566996,96,996,863,522,105,845
1กรกฎาคม2556,646905,5,905,510,752,849,39
16มิถุนายน2556,289673,73,673,693,900,981,145
1มิถุนายน2556,935489,89,489,904,807,137,167
16พฤษภาคม2556,687125,25,125,560,342,613,909
2พฤษภาคม2556,603458,58,458,72,723,595,168
16เมษายน2556,843846,46,846,868,348,629,68
1เมษายน2556,571688,88,688,531,704,306,707
16มีนาคม2556,968433,33,433,528,609,591,755
1มีนาคม2556,976241,41,241,379,727,211,337
16กุมภาพันธ์2556,368257,57,257,96,577,81,93
1กุมภาพันธ์2556,565566,66,566,664,526,956,417
16มกราคม2556,820981,81,981,85,551,963,743
30ธันวาคม2555,302358,58,358,5,898,641,268
16ธันวาคม2555,529524,24,524,727,347,457,780
1ธันวาคม2555,110443,43,443,434,345,534,893
16พฤศจิกายน2555,639500,0,500,155,765,608,46
1พฤศจิกายน2555,524694,94,694,632,171,882,853
16ตุลาคม2555,281343,43,343,281,520,893,968
1ตุลาคม2555,124025,25,25,589,405,542,918
16กันยายน2555,540143,43,143,792,427,521,237
1กันยายน2555,329997,97,997,77,365,981,486
16สิงหาคม2555,683877,77,877,280,326,127,757
1สิงหาคม2555,895590,90,590,508,205,997,967
16กรกฎาคม2555,904050,50,50,118,972,241,590
1กรกฎาคม2555,915900,0,900,607,156,565,306
16มิถุนายน2555,159373,73,373,512,387,904,795
1มิถุนายน2555,882727,27,727,386,65,768,953
16พฤษภาคม2555,814418,18,418,315,43,99,21
2พฤษภาคม2555,889501,1,501,295,895,974,264
16เมษายน2555,583470,70,470,622,160,887,227
1เมษายน2555,257562,62,562,695,810,746,163
16มีนาคม2555,607064,64,64,86,63,335,733
1มีนาคม2555,222518,18,518,792,951,357,111
16กุมภาพันธ์2555,648684,84,684,189,62,141,114
1กุมภาพันธ์2555,320605,5,605,327,494,264,985
16มกราคม2555,451445,45,445,813,281,509,416
30ธันวาคม2554,526402,2,402,651,680,265,415
16ธันวาคม2554,884178,78,178,217,842,356,512
1ธันวาคม2554,408147,47,147,29,222,538,577
16พฤศจิกายน2554,997777,77,777,574,255,514,69
1พฤศจิกายน2554,805540,40,540,547,713,800,652
16ตุลาคม2554,955756,56,756,839,910,573,295
1ตุลาคม2554,511052,52,52,159,571,41,894
16กันยายน2554,731198,98,198,283,846,458,125
1กันยายน2554,724533,33,533,858,470,215,338
16สิงหาคม2554,536960,60,960,628,143,450,740
1สิงหาคม2554,218756,56,756,127,35,836,602
16กรกฎาคม2554,116556,56,556,122,270,525,346
1กรกฎาคม2554,622953,53,953,513,901,607,804
16มิถุนายน2554,351276,76,276,884,861,671,625
1มิถุนายน2554,562370,70,370,466,563,468,15
16พฤษภาคม2554,406417,17,417,57,0,440,718
2พฤษภาคม2554,54136,36,136,854,219,451,335
16เมษายน2554,825988,88,988,442,632,133,975
1เมษายน2554,814931,31,931,17,235,840,400
16มีนาคม2554,593331,31,331,962,99,454,637
1มีนาคม2554,656037,37,37,975,443,579,263
16กุมภาพันธ์2554,481746,46,746,275,355,103,843
1กุมภาพันธ์2554,610089,89,89,555,963,611,214
16มกราคม2554,281062,62,62,232,271,857,585
30ธันวาคม2553,884112,12,112,499,361,531,869
16ธันวาคม2553,334380,80,380,245,293,155,333
1ธันวาคม2553,181752,52,752,96,644,704,740
16พฤศจิกายน2553,813993,93,993,437,639,799,71
1พฤศจิกายน2553,191100,0,100,596,539,688,17
16ตุลาคม2553,621377,77,377,423,105,183,858
